datetime,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5_Category,NO2_Cluster
2013-03-31,386.80313014827016,2013.0,3.0,16.602141680395388,11.351729818780889,79.20510708401977,101.18121911037892,32.62362899505766,57.93612240527183,1063.808072487644,51.799257495881385,5.314744645799012,1012.2330313014826,-7.272652388797364,0.03500823723228995,1.7882207578253708,Moderate,Sedang
2013-04-30,1114.9433516915815,2013.0,4.0,15.940204563335955,11.37844217151849,61.33438237608183,97.35719905586153,21.021508733280882,46.617637293469706,816.2305271439811,55.12625538945712,12.178678206136901,1006.6849724626279,-2.536978756884343,0.017230527143981118,1.861290322580645,Moderate,Sedang
2013-05-31,1840.9187969924812,2013.0,5.0,16.188721804511278,11.389473684210527,74.59172932330827,117.92781954887218,26.40899729323308,48.68687060150376,743.1887218045113,79.63332180451128,21.381954887218043,1001.5116541353383,8.254285714285714,0.00736842105263158,1.6700751879699247,Moderate,Sedang
2013-06-30,2560.3125,2013.0,6.0,15.164909638554217,11.354668674698795,80.86521084337349,102.65210843373494,12.816563253012049,50.13208990963855,699.2364457831326,76.29262454819278,23.514909638554215,998.6493222891567,17.01551204819277,0.12191265060240965,1.240737951807229,Moderate,Sedang
2013-07-31,3301.652351738241,2013.0,7.0,16.049079754601227,11.474437627811861,64.68370824812543,74.16359918200409,7.822805180640764,39.6402509202454,741.6448534423995,75.37799304703476,27.071029311520107,994.4452624403544,20.691138377641447,0.25010224948875254,1.279959100204499,Moderate,Sedang
2013-08-31,4043.340163934426,2013.0,8.0,15.952185792349727,11.487704918032787,57.849043715846996,75.07991803278688,6.936105464480874,39.482213524590165,697.1994535519126,79.99787295081967,26.828756830601094,997.7261612021858,19.723702185792348,0.12984972677595627,1.3381830601092894,Moderate,Sedang
2013-09-30,4759.128148148148,2013.0,9.0,14.777037037037037,11.479259259259258,64.96,83.98814814814814,9.744469333333333,50.06309503703704,913.697037037037,45.50955940740741,20.421333333333333,1007.8049629629629,14.240444444444444,0.09822222222222222,1.1448148148148147,Moderate,Sedang
2013-10-31,5513.350570342205,2013.0,10.0,16.206083650190113,11.404562737642586,69.61596958174906,91.21749049429658,15.609055513307984,60.47455475285171,735.6653992395437,24.68910372623574,12.899847908745247,1014.8641825095057,4.475285171102661,0.005095057034220533,1.211939163498099,Moderate,Sedang
2013-11-30,6235.098603839441,2013.0,11.0,15.273123909249565,11.543630017452006,56.05410122164049,79.2303664921466,23.05927958115183,49.30932417102967,1022.7748691099476,21.38381919720768,6.306108202443281,1015.4606457242583,-7.1908376963350795,0.0,1.6283595113438045,Moderate,Sedang
2013-12-31,6965.197599261312,2013.0,12.0,15.683287165281625,11.79870729455217,45.28624192059095,63.657433056325026,32.59072280701755,46.57026371191136,880.6094182825485,21.73131763619575,0.3878116343490305,1018.7073868882734,-14.32225300092336,0.0,1.705909510618652,Low,Sedang
2014-01-31,7731.42009569378,2014.0,1.0,16.598086124401913,12.066028708133972,57.16459330143541,77.63923444976076,43.95119617224881,48.1444976076555,1123.732057416268,24.850717703349282,0.22545454545454544,1019.2912918660286,-14.41578947368421,0.0,1.8104306220095694,Moderate,Sedang
